url_rotten,rt_tomatometer,rt_audience_score,rt_critics_consensus
https://www.rottentomatoes.com/m/bloody_hell,91,80,"For genre fans in the mood to watch some darkly funny mayhem,Bloody Helllives up to its title in all the best ways."
https://www.rottentomatoes.com/m/naina,,,
https://www.rottentomatoes.com/m/fog_island,,22,
https://www.rottentomatoes.com/m/dracula,,39,
https://www.rottentomatoes.com/m/the-monster-hunter,,44,
https://www.rottentomatoes.com/m/sins_of_the_sisters,,,
https://www.rottentomatoes.com/m/uninvited,,0,
https://www.rottentomatoes.com/m/zombiegeddon,,25,
https://www.rottentomatoes.com/m/hard_ride_to_hell,,12,
https://www.rottentomatoes.com/m/book_of_evil,,,
https://www.rottentomatoes.com/m/chabak_night_of_murder_and_romance,,,
https://www.rottentomatoes.com/m/synesthesia,,48,
https://www.rottentomatoes.com/m/jacks_back,71,39,
https://www.rottentomatoes.com/m/dementer,81,0,"Although it sometimes struggles to make sense of its story,Dementerpresents a unique -- and chillingly dark -- perspective on healthcare horror."
https://www.rottentomatoes.com/m/suddenly_in_the_dark,,,
https://www.rottentomatoes.com/m/john_dies_at_the_end,59,54,"Some will find the darkly funny, genre-bending incoherence ofJohn Dies at the Endcharming; some will feel its zany antics and gore lead to an unsatisfying payoff."
https://www.rottentomatoes.com/m/vampira,,,
https://www.rottentomatoes.com/m/bloodwine,,,
https://www.rottentomatoes.com/m/a_whisper_in_the_dark,,,
https://www.rottentomatoes.com/m/encounters,,,
https://www.rottentomatoes.com/m/killjoy_goes_to_hell,,43,
https://www.rottentomatoes.com/m/orca,,,
https://www.rottentomatoes.com/m/taste_the_blood_of_dracula,54,54,
https://www.rottentomatoes.com/m/my_little_nightmare,,,
https://www.rottentomatoes.com/m/christmas_zombies,,,
https://www.rottentomatoes.com/m/monster_mash,,56,
https://www.rottentomatoes.com/m/idiot,,,
https://www.rottentomatoes.com/m/grinders,,,
https://www.rottentomatoes.com/m/jinxed,,30,
https://www.rottentomatoes.com/m/ghostlight,63,,
https://www.rottentomatoes.com/m/dam_sharks,,14,
https://www.rottentomatoes.com/m/air,,87,
https://www.rottentomatoes.com/m/confined,,90,
https://www.rottentomatoes.com/m/hide,82,54,"Cleverly written and directed, this is a tight, atmospheric and claustrophobic low budget British thriller."
