id_tertiaire,url_rotten,rt_tomatometer,rt_audience_score,rt_critics_consensus
the_open_door_2008,https://www.rottentomatoes.com/m/the_open_door_2008,,13.0,
darling_2015,https://www.rottentomatoes.com/m/darling_2015,,40.0,
the_possession_of_david_oreilly_2010,https://www.rottentomatoes.com/m/the_possession_of_david_oreilly_2010,,29.0,
harvest_2025,https://www.rottentomatoes.com/m/harvest_2024,74.0,,
sweeney_todd_the_demon_barber_of_fleet_street_2007,https://www.rottentomatoes.com/m/sweeney_todd_the_demon_barber_of_fleet_street_2007,86.0,81.0,"Full of pith and Grand Guignol grossness, this macabre musical is perfectly helmed and highly entertaining. Tim Burton masterfully stages the musical in a way that will make you think he has done this many times before."
hush_2024,https://www.rottentomatoes.com/m/hush_2016,92.0,73.0,Hush navigates the bloody waters of home invasion thrillers and incisive slashers for a contemporary horror puree.
still_life_2015,https://www.rottentomatoes.com/m/still_life_2015,63.0,77.0,"Still Life moves with a quiet grace that some viewers may mistake for mannered passivity, but rewards patience with genuine poignancy."
the_veil_2016,https://www.rottentomatoes.com/m/the_veil_2016,,23.0,
the_girl_from_nowhere_2012,https://www.rottentomatoes.com/m/the_girl_from_nowhere_2013,,54.0,
hold_your_breath_2012,https://www.rottentomatoes.com/m/hold_your_breath_2012,,14.0,
gateway_2021,https://www.rottentomatoes.com/m/gateway_2021,90.0,92.0,
speak_no_evil_2024,https://www.rottentomatoes.com/m/speak_no_evil_2024,83.0,83.0,"Harnessing sick suspense from the glimmer in James McAvoy's eye, Speak No Evil is the rare remake that hushes up concerns of ""been there, done that."""
daylight_2013,https://www.rottentomatoes.com/m/daylight_2013,,12.0,
the_call_2020,https://www.rottentomatoes.com/m/the_call_2020,46.0,65.0,"Some horror fans and '80s enthusiasts may answer The Call, although a lack of genuine scares and an overload of genre tropes will leave most struggling to maintain the connection."
the_seasoning_house_2012,https://www.rottentomatoes.com/m/the_seasoning_house_2012,23.0,42.0,
howl_2015,https://www.rottentomatoes.com/m/howl_2015,63.0,41.0,
black_dog_2024,https://www.rottentomatoes.com/m/black_dog_2024,98.0,88.0,"Guan Hu delivers a poetic and redemptive journey through China with Black Dog, reminding us that the best of friends often has four legs."
blood_2009,https://www.rottentomatoes.com/m/blood-2009,,48.0,
quicksand_2023,https://www.rottentomatoes.com/m/quicksand_2023,33.0,20.0,
pig_2019,https://www.rottentomatoes.com/m/pig_2018,81.0,67.0,
if_a_tree_falls_2010,https://www.rottentomatoes.com/m/if_a_tree_falls_2010,,47.0,
random_acts_of_violence_2013,https://www.rottentomatoes.com/m/charm_2013,,70.0,
broken_bird_2024,https://www.rottentomatoes.com/m/broken_bird_2024,100.0,,
bite_marks_2011,https://www.rottentomatoes.com/m/bite_marks_2011,,39.0,
the_ranger_2018,https://www.rottentomatoes.com/m/the_ranger_2018,76.0,42.0,
camera_obscura_2017,https://www.rottentomatoes.com/m/camera_obscura_2017,28.0,51.0,
daylight_2011,https://www.rottentomatoes.com/m/daylight_2011,91.0,64.0,
love_hurts_2025,https://www.rottentomatoes.com/m/love_hurts_2025,19.0,60.0,Ouchie.
veronica_2017,https://www.rottentomatoes.com/m/veronica_2017,78.0,44.0,
the_carpenter_1988,https://www.rottentomatoes.com/m/the_carpenter_1988,,9.0,
