tconst,title,tmdb_id,primaryTitle,genres,averageRating,numVotes
tt1802533,Then The Night Comes,515254,Then the Night Comes,"Drama,Horror,Thriller",7.0,24.0
tt1805137,A Woman Who Writes,1047602,,,,
tt18070908,French Frights,1140885,French Frights,Horror,4.6,19.0
tt18072540,The Communion Girl,1008005,The Communion Girl,Horror,5.2,1959.0
tt18080966,No Noroi Jikenbo,1140118,,,,
tt1808452,The Ideal,336598,The Ideal,"Fantasy,Horror,Thriller",2.3,165.0
tt1810841,Under the Blade,1127812,,,,
tt1817771,Freaks of Nature,218784,Freaks of Nature,"Comedy,Horror,Sci-Fi",5.9,14537.0
tt1821527,MAD In Italy,288917,Mad in Italy,"Horror,Thriller",5.3,42.0
tt18226284,Capsules,992846,Capsules,"Horror,Sci-Fi",4.1,188.0
tt1823267,Weekend At The Cabin,144706,Weekend at the Cabin,Horror,2.7,92.0
tt18236224,The Vampire Legacy,840343,Pusaka Pontianak,Horror,6.6,8.0
tt1825155,The Craving,427941,The Craving,"Comedy,Drama,Horror",3.9,85.0
tt18265606,Kiri no yoru no kyōfu,1173049,Kiri no yoru no kyôfu,\N,,
tt18266478,Honto Ni Atta! Noroi No Video: Best Selection 2,840301,,,,
tt1826720,Memory of the Dead,101725,Memory of the Dead,"Comedy,Horror",5.0,273.0
tt18270396,ParaSense: The Naked Experiments,1011043,ParaSense: The Naked Experiments,Documentary,7.5,28.0
tt18283678,The Loop: Undeniable,1162189,,,,
tt18305922,Fatal Conspiracy,967998,Fatal Conspiracy,Thriller,6.4,52.0
tt1837650,San Lazaro,112371,San Lazaro,"Comedy,Horror,Thriller",5.3,85.0
tt18376616,Paranoid Garden,785326,,,5.1,25.0
tt1839387,A Child's Play Story: Chucky's Revenge,226438,,,5.9,108.0
tt1839414,Back to the Beyond,272468,Back to the Beyond,Horror,2.3,97.0
tt1842433,One for the Road,952018,,,6.7,87.0
tt1846732,"Die! Directors, Die!",584212,"Die! Directors, Die!",Horror,4.5,13.0
tt1848983,Little Creeps,568578,,,6.8,256.0
tt1849881,The Terrible Old Man,1367532,,,5.8,25.0
tt18548602,Till Death Do Us Part,1031358,Fingerlakes Grindhouse Presents: Till Death Do Us Part,"Comedy,Horror,Romance",4.2,46.0
tt18565260,Koi Koi: The Myth,1160763,Koi Koi: The Myth,Horror,8.3,15.0
